# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=60mm, diameter=98mm, material=Basotect (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
630	0.78580	0.03113
632	0.78756	0.03113
634	0.78939	0.03115
636	0.79094	0.03114
638	0.79229	0.03113
640	0.79441	0.03111
642	0.79573	0.03113
644	0.79730	0.03116
646	0.79897	0.03118
648	0.80066	0.03119
650	0.80190	0.03118
652	0.80361	0.03119
654	0.80528	0.03121
656	0.80682	0.03123
658	0.80803	0.03128
660	0.80978	0.03132
662	0.81109	0.03135
664	0.81293	0.03140
666	0.81417	0.03144
668	0.81561	0.03145
670	0.81706	0.03146
672	0.81873	0.03149
674	0.82002	0.03150
676	0.82159	0.03155
678	0.82277	0.03161
680	0.82434	0.03165
682	0.82552	0.03167
684	0.82697	0.03168
686	0.82832	0.03176
688	0.82971	0.03181
690	0.83091	0.03185
692	0.83234	0.03189
694	0.83350	0.03193
696	0.83508	0.03198
698	0.83645	0.03201
700	0.83756	0.03207
702	0.83880	0.03213
704	0.84009	0.03218
706	0.84130	0.03223
708	0.84264	0.03229
710	0.84371	0.03237
712	0.84520	0.03246
714	0.84631	0.03256
716	0.84751	0.03263
718	0.84864	0.03270
720	0.84983	0.03283
722	0.85117	0.03296
724	0.85220	0.03301
726	0.85354	0.03319
728	0.85438	0.03333
730	0.85570	0.03353
732	0.85678	0.03370
734	0.85817	0.03383
736	0.85927	0.03399
738	0.86004	0.03409
740	0.86151	0.03419
742	0.86273	0.03434
744	0.86376	0.03445
746	0.86500	0.03454
748	0.86588	0.03467
750	0.86691	0.03485
752	0.86795	0.03504
754	0.86892	0.03524
756	0.86990	0.03533
758	0.87101	0.03564
760	0.87199	0.03583
762	0.87302	0.03608
764	0.87380	0.03631
766	0.87515	0.03652
768	0.87588	0.03679
770	0.87666	0.03699
772	0.87788	0.03711
774	0.87890	0.03736
776	0.87991	0.03762
778	0.88082	0.03803
780	0.88144	0.03828
782	0.88266	0.03853
784	0.88334	0.03862
786	0.88449	0.03886
788	0.88536	0.03927
790	0.88622	0.03958
792	0.88721	0.03972
794	0.88836	0.04011
796	0.88907	0.04038
798	0.88981	0.04050
800	0.89102	0.04065
802	0.89160	0.04089
804	0.89274	0.04125
806	0.89354	0.04130
808	0.89486	0.04149
810	0.89543	0.04171
812	0.89609	0.04199
814	0.89666	0.04222
816	0.89770	0.04234
818	0.89867	0.04235
820	0.89972	0.04232
822	0.90026	0.04230
824	0.90110	0.04248
826	0.90045	0.04216
828	0.90192	0.04210
830	0.90430	0.04199
832	0.90526	0.04189
834	0.90506	0.04168
836	0.90454	0.04095
838	0.90678	0.04085
840	0.90841	0.04034
842	0.91034	0.03973
844	0.91106	0.03882
846	0.91219	0.03797
848	0.91327	0.03787
850	0.91374	0.03742
852	0.91413	0.03717
854	0.91476	0.03668
856	0.91596	0.03589
858	0.91686	0.03529
860	0.91797	0.03443
862	0.91882	0.03376
864	0.91956	0.03315
866	0.92031	0.03249
868	0.92112	0.03174
870	0.92194	0.03096
872	0.92283	0.03015
874	0.92378	0.02936
876	0.92475	0.02870
878	0.92529	0.02794
880	0.92630	0.02713
882	0.92723	0.02641
884	0.92808	0.02575
886	0.92879	0.02499
888	0.92963	0.02433
890	0.93045	0.02366
892	0.93134	0.02297
894	0.93206	0.02244
896	0.93289	0.02189
898	0.93375	0.02131
900	0.93450	0.02085
902	0.93542	0.02032
904	0.93600	0.01994
906	0.93678	0.01951
908	0.93746	0.01911
910	0.93830	0.01874
912	0.93904	0.01836
914	0.93976	0.01804
916	0.94040	0.01776
918	0.94116	0.01747
920	0.94191	0.01720
922	0.94247	0.01698
924	0.94326	0.01675
926	0.94394	0.01653
928	0.94451	0.01635
930	0.94505	0.01618
932	0.94572	0.01602
934	0.94636	0.01585
936	0.94700	0.01569
938	0.94770	0.01554
940	0.94829	0.01541
942	0.94885	0.01530
