# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=50mm, diameter=98mm, material=Pinta Plano Polar (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
630	0.60125	0.00817
632	0.60306	0.00809
634	0.60483	0.00803
636	0.60633	0.00786
638	0.60786	0.00805
640	0.60964	0.00803
642	0.61119	0.00818
644	0.61281	0.00833
646	0.61464	0.00837
648	0.61614	0.00832
650	0.61767	0.00840
652	0.61950	0.00849
654	0.62133	0.00856
656	0.62292	0.00849
658	0.62442	0.00852
660	0.62614	0.00851
662	0.62775	0.00850
664	0.62950	0.00853
666	0.63100	0.00850
668	0.63253	0.00860
670	0.63408	0.00858
672	0.63569	0.00857
674	0.63744	0.00853
676	0.63911	0.00851
678	0.64072	0.00852
680	0.64225	0.00829
682	0.64392	0.00842
684	0.64547	0.00859
686	0.64706	0.00862
688	0.64875	0.00854
690	0.65003	0.00846
692	0.65175	0.00847
694	0.65339	0.00856
696	0.65492	0.00842
698	0.65692	0.00844
700	0.65825	0.00855
702	0.65969	0.00856
704	0.66144	0.00844
706	0.66289	0.00849
708	0.66456	0.00851
710	0.66614	0.00866
712	0.66769	0.00854
714	0.66917	0.00869
716	0.67064	0.00869
718	0.67219	0.00896
720	0.67361	0.00873
722	0.67517	0.00879
724	0.67678	0.00877
726	0.67828	0.00888
728	0.67967	0.00898
730	0.68114	0.00900
732	0.68275	0.00911
734	0.68406	0.00904
736	0.68525	0.00903
738	0.68636	0.00927
740	0.68778	0.00916
742	0.68956	0.00931
744	0.69114	0.00938
746	0.69253	0.00932
748	0.69369	0.00929
750	0.69528	0.00938
752	0.69667	0.00940
754	0.69806	0.00950
756	0.69958	0.00958
758	0.70050	0.00946
760	0.70211	0.00949
762	0.70383	0.00971
764	0.70500	0.00958
766	0.70647	0.00952
768	0.70758	0.00974
770	0.70864	0.00976
772	0.71022	0.00954
774	0.71183	0.00960
776	0.71319	0.00966
778	0.71467	0.00979
780	0.71592	0.00966
782	0.71758	0.00974
784	0.71850	0.00976
786	0.72011	0.00957
788	0.72103	0.00962
790	0.72233	0.00958
792	0.72439	0.00948
794	0.72553	0.00951
796	0.72692	0.00954
798	0.72783	0.00940
800	0.72972	0.00935
802	0.73072	0.00931
804	0.73167	0.00918
806	0.73411	0.00931
808	0.73483	0.00903
810	0.73636	0.00902
812	0.73753	0.00890
814	0.73861	0.00882
816	0.74061	0.00871
818	0.74206	0.00865
820	0.74342	0.00856
822	0.74478	0.00846
824	0.74550	0.00839
826	0.74706	0.00817
828	0.74844	0.00829
830	0.75044	0.00815
832	0.75219	0.00826
834	0.75294	0.00846
836	0.75317	0.00821
838	0.75447	0.00795
840	0.75689	0.00815
842	0.75953	0.00806
844	0.76053	0.00816
846	0.76506	0.00815
848	0.76864	0.00904
850	0.77067	0.01128
852	0.77564	0.01755
854	0.77572	0.01503
856	0.76814	0.01041
858	0.77008	0.00905
860	0.77119	0.00916
862	0.77253	0.00748
864	0.77286	0.00687
866	0.77367	0.00667
868	0.77492	0.00655
870	0.77503	0.00645
872	0.77536	0.00661
874	0.77781	0.00662
876	0.77828	0.00657
878	0.78000	0.00658
880	0.78042	0.00664
882	0.78186	0.00660
884	0.78244	0.00670
886	0.78414	0.00680
888	0.78447	0.00674
890	0.78561	0.00671
892	0.78694	0.00671
894	0.78850	0.00674
896	0.78950	0.00683
898	0.79111	0.00680
900	0.79200	0.00684
902	0.79289	0.00698
904	0.79414	0.00697
906	0.79503	0.00703
908	0.79664	0.00717
910	0.79775	0.00716
912	0.79889	0.00715
914	0.79981	0.00716
916	0.80075	0.00720
918	0.80228	0.00713
920	0.80347	0.00715
922	0.80458	0.00711
924	0.80589	0.00715
926	0.80692	0.00711
928	0.80803	0.00712
930	0.80914	0.00716
932	0.81047	0.00712
934	0.81117	0.00716
936	0.81242	0.00716
938	0.81378	0.00711
940	0.81478	0.00712
942	0.81564	0.00714
944	0.81678	0.00717
946	0.81814	0.00718
948	0.81922	0.00727
950	0.82003	0.00727
952	0.82117	0.00719
954	0.82225	0.00726
956	0.82311	0.00723
958	0.82422	0.00723
960	0.82528	0.00732
962	0.82622	0.00723
964	0.82725	0.00725
966	0.82814	0.00722
968	0.82925	0.00725
970	0.83028	0.00729
972	0.83128	0.00729
974	0.83217	0.00717
976	0.83314	0.00720
978	0.83431	0.00716
980	0.83522	0.00723
982	0.83611	0.00715
984	0.83708	0.00718
986	0.83811	0.00708
988	0.83911	0.00711
990	0.84006	0.00709
992	0.84111	0.00709
994	0.84208	0.00705
996	0.84297	0.00706
998	0.84406	0.00700
1000	0.84506	0.00707
1002	0.84608	0.00698
1004	0.84697	0.00695
1006	0.84783	0.00687
1008	0.84886	0.00691
1010	0.84956	0.00693
1012	0.85072	0.00695
1014	0.85158	0.00686
1016	0.85242	0.00692
1018	0.85336	0.00685
1020	0.85422	0.00682
1022	0.85517	0.00681
1024	0.85614	0.00677
1026	0.85711	0.00679
1028	0.85797	0.00665
1030	0.85883	0.00668
1032	0.85989	0.00664
1034	0.86067	0.00667
1036	0.86158	0.00666
1038	0.86236	0.00665
1040	0.86322	0.00666
1042	0.86406	0.00652
1044	0.86492	0.00662
1046	0.86583	0.00661
1048	0.86678	0.00665
1050	0.86758	0.00655
1052	0.86833	0.00661
1054	0.86917	0.00652
1056	0.87011	0.00654
1058	0.87103	0.00647
1060	0.87164	0.00652
1062	0.87256	0.00656
1064	0.87344	0.00645
1066	0.87417	0.00642
1068	0.87503	0.00647
1070	0.87597	0.00645
1072	0.87672	0.00645
1074	0.87753	0.00640
1076	0.87828	0.00634
1078	0.87906	0.00644
1080	0.87994	0.00636
1082	0.88058	0.00635
1084	0.88156	0.00630
1086	0.88228	0.00628
1088	0.88303	0.00636
1090	0.88389	0.00627
1092	0.88456	0.00631
1094	0.88539	0.00621
1096	0.88603	0.00628
1098	0.88686	0.00617
1100	0.88758	0.00614
1102	0.88839	0.00621
1104	0.88917	0.00618
1106	0.88986	0.00619
1108	0.89050	0.00619
1110	0.89122	0.00615
1112	0.89194	0.00614
1114	0.89272	0.00604
1116	0.89350	0.00605
1118	0.89417	0.00612
1120	0.89483	0.00605
1122	0.89550	0.00606
1124	0.89628	0.00616
1126	0.89694	0.00597
1128	0.89761	0.00603
1130	0.89822	0.00613
1132	0.89903	0.00597
1134	0.89972	0.00595
1136	0.90025	0.00605
1138	0.90097	0.00590
1140	0.90158	0.00604
1142	0.90228	0.00604
1144	0.90281	0.00588
1146	0.90336	0.00597
1148	0.90394	0.00590
1150	0.90458	0.00594
1152	0.90503	0.00590
1154	0.90564	0.00590
1156	0.90619	0.00586
1158	0.90683	0.00580
1160	0.90728	0.00578
1162	0.90792	0.00574
1164	0.90836	0.00576
